Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
13127,JP Morgan,"Wealth Management - Private Bank - Client Advisor - Vice President / Executive Director - Tampa, Florida",Lending,40,Fintech
13128,JP Morgan,"Wealth Management - Private Bank - Banker - Vice President / Executive Director - Orlando, Florida",﻿Payments,36,Fintech
13129,JP Morgan,"Wealth Management - Private Bank - Banker - Vice President / Executive Director - Boca Raton, Florida",﻿Payments,36,Fintech
13130,JP Morgan,"Teller (Part-Time) - Indy North Market, IN (Carmel, Zionsville andEastwood locations)",Big Data,42,Fintech
13131,JP Morgan,Teller (Part-Time) - Indy Southeast Market (Downtown IndianapolisWanamaker Greenwood and Franklin IN),Big Data,43,Fintech
13132,JP Morgan,"Teller (Part-Time) - Indy West Side Market (Rockville, Speedway, WestIndianapolis, and Zionsville, IN)",Big Data,43,Fintech
13133,JP Morgan,Teller (Part-Time) - South Bend Market (Elkhart Goshen and  South Bend-IN),Big Data,43,Fintech
13134,JP Morgan,"Teller (Part-Time) - Indy Northeast Market (Northeast Indianapolis, IN)",Big Data,43,Fintech
13135,JP Morgan,Fullstack Java Software Engineer,Blockchain,32,Fintech
13136,JP Morgan,"Commercial Banking-Client Service Associate, CCBSI (Los Angeles, CA)",﻿Payments,48,Fintech
13137,JP Morgan,"CCB Specialist I â Fraud- Elgin, IL",Security,36,Fintech
13138,JP Morgan,"CCB Specialist I â Collections- Elgin, IL",Big Data,43,Fintech
13139,JP Morgan,"Commercial Banking - Wholesale Lending Services Transformation Lead/Vice President (Dallas, TX)",﻿Payments,34,Fintech
13140,JP Morgan,Java Developer - Software Engineer,Blockchain,34,Fintech
13141,JP Morgan,Business Relationship Mgr III - Business Banking -Indianapolis IN,﻿Payments,26,Fintech
13142,JP Morgan,Commercial Bank -Transformation Program Catalyst Instructional Designer (Associate),Blockchain,21,Fintech
13143,JP Morgan,Commercial Bank-Project Management Manager-Business Continuity Group,﻿Payments,24,Fintech
13144,JP Morgan,Commercial Bank-Project Management Manager-Business Continuity Group,﻿Payments,24,Fintech
13145,JP Morgan,"Home Lending - Regional Condo/Builder Sales Manager - Phoenix, AZ",Non-FinTech,4,Nonfintech
13146,JP Morgan,Commercial Banking - Middle Market Banking & Specialized Industries (MMBSI) - Business Transformation - VP,﻿Payments,38,Fintech
13147,JP Morgan,Commercial Banking - Middle Market Banking & Specialized Industries (MMBSI) - Business Transformation - VP,﻿Payments,38,Fintech
13148,JP Morgan,AI Engineering: Senior Machine Learning Engineer,﻿Payments,38,Fintech
13149,JP Morgan,AI Engineering:Data Science /Machine Learning Engineer,﻿Payments,51,Fintech
13150,JP Morgan,AI Engineering: Backend Engineer,﻿Payments,48,Fintech
13151,JP Morgan,Business Application Developer-.NET Web Applications,Big Data,28,Fintech
13152,JP Morgan,Part Time Teller â  Plano /Frisco/ Allen / McKinney / Little Elm and surrounding cities - Multiple Openings *Banking Experience Not Required*,Big Data,42,Fintech
13153,JP Morgan,"Military Pathways Middle Market Banking & Specialized Industries Analyst Program - Commercial Bank - Technology - Chicago, IL",﻿Payments,62,Fintech
13154,JP Morgan,CIB F&BM Global Clearing Product Controller - Analyst,﻿Payments,24,Fintech
13155,JP Morgan,CIB F&BM - Product Control P&L â Global Clearing Product Controller - Associate,﻿Payments,27,Fintech
13156,JP Morgan,Vice President - Treasury Management Officer Commercial Treasury Solutions - Regional Sales Center Government - Dallas,﻿Payments,63,Fintech
13157,JP Morgan,Corporate Finance - External Reporting - Data & Platform Analytics - Associate,﻿Payments,32,Fintech
13158,JP Morgan,Commercial Banking - Business Transformation Project Manager (Convergence)â VP,Blockchain,15,Fintech
13159,JP Morgan,Wealth Management | U.S. Private Bank | Client Service Associate | Delaware,﻿Payments,57,Fintech
13160,JP Morgan,"Chase Wealth Management - Financial Advisor - Skokie, IL (Skokie Lincoln)",Lending,20,Fintech
13161,JP Morgan,Commercial Banking - Middle Market Banking & Specialized Industries (MMBSI) - Business Transformation Associate,﻿Payments,41,Fintech
13162,JP Morgan,"Commercial Banking â Sales Enablement & Process Re-Design, Senior Associate",﻿Payments,15,Fintech
13163,JP Morgan,"Commercial Banking â Sales Enablement & Process Re-Design, Senior Associate",﻿Payments,15,Fintech
13164,JP Morgan,"Chase Wealth Management - Financial Advisor - Matteson, IL (Lincoln Mall)",Lending,21,Fintech
13165,JP Morgan,Technical Solutions Engineer - Cloud Platform,Blockchain,49,Fintech
13166,JP Morgan,Commercial Banking â Transformation - Project Welcome â Product Strategy Associate,﻿Payments,39,Fintech
13167,JP Morgan,Senior UI Developer,﻿Payments,32,Fintech
13168,JP Morgan,Commercial Bank â Business Analysis & Reporting Manager- Executive Director,Big Data,26,Fintech
13169,JP Morgan,"Corporate - Capital Management, Data Governance & Management - Data Strategy - Associate",Blockchain,59,Fintech
13170,JP Morgan,"CCB - Private Client Banker - Chappaqua, NY",﻿Payments,30,Fintech
13171,JP Morgan,"Chase Wealth Management - Financial Advisor -Los Gatos, CA (North Santa Cruz)",Big Data,29,Fintech
13172,JP Morgan,CB Client Onboarding Tech Implementation Team - Paysource Client Engagment VP,﻿Payments,39,Fintech
13173,JP Morgan,"Commercial Bank - Client Processing Specialist - Wholesale Lending Services (Newark, DE)",﻿Payments,30,Fintech
13174,JP Morgan,"Treasury Services Sales Group Manager/Executive Director -â Commercial Real Estate Term Lending - Commercial Bank -â New York, NY",﻿Payments,23,Fintech
